id,item_id,,tag_id,,score
177,53,ドーンじゃんけん,94,運要素,
178,53,,107,走る,1
179,53,,108,リスク,1
180,54,カモンじゃんけん,94,運要素,
181,54,,107,走る,1
182,54,,98,協力,1
183,54,,108,リスク,1
184,55,条件ダッシュ,107,走る,2
185,55,,108,リスク,2
186,56,ハンカチ落とし,107,走る,2
187,56,,108,リスク,2
188,57,おしり鬼ごっこ,109,避ける,1
189,57,,108,リスク,2
190,57,,98,協力,1
191,58,代わり鬼ごっこ,107,走る,3
192,58,,109,避ける,2
193,58,,108,リスク,3
194,58,,98,協力,1
195,59,こおり鬼ごっこ,107,走る,3
196,59,,109,避ける,2
197,59,,98,協力,2
198,59,,108,リスク,3
199,60,バナナ鬼ごっこ,107,走る,3
200,60,,109,避ける,2
201,60,,98,協力,3
202,60,,108,リスク,3
203,61,ボール転がし的当て,110,狙う,1
204,62,ボール投げ的当て,110,狙う,2
205,63,転がしドッジボール,110,狙う,2
206,63,,109,避ける,3
207,63,,98,協力,1
208,63,,108,リスク,2
209,64,中当てドッジボール,110,狙う,3
210,64,,109,避ける,3
211,64,,98,協力,1
212,64,,108,リスク,2
213,65,キャッチボール(ドッジ用),110,狙う,2
214,65,,111,キャッチ,1
215,65,,98,協力,3
216,65,,108,リスク,1
217,66,パスリレー(ドッジ用),110,狙う,2
218,66,,111,キャッチ,2
219,66,,98,協力,2
220,66,,108,リスク,1
221,67,アメリカンドッジボール,110,狙う,3
222,67,,111,キャッチ,3
223,67,,108,リスク,2
224,68,外野なしドッジボール,110,狙う,4
225,68,,109,避ける,4
226,68,,98,協力,3
227,68,,108,リスク,4
228,69,王様ドッジボール,110,狙う,4
229,69,,109,避ける,4
230,69,,98,協力,4
231,69,,108,リスク,4
232,70,隠し王様ドッジボール,110,狙う,4
233,70,,109,避ける,4
234,70,,98,協力,5
235,70,,108,リスク,4
236,71,外野ありドッジボール,110,狙う,4
237,71,,109,避ける,5
238,71,,98,協力,5
239,71,,108,リスク,4
240,72,三歩ドッジボール,107,走る,3
241,72,,110,狙う,5
242,72,,109,避ける,4
243,72,,108,リスク,5
